0,Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1,2015-05-27 00:00:00+00:00,208,222.25,206.85,216,215.15,4642146,10062.83
2,2015-05-28 00:00:00+00:00,217,218.6,205.9,210.25,209.2,3519515,7407.06
3,2015-05-29 00:00:00+00:00,223.5,227.8,216.15,217.25,218.2,1728786,3815.79
4,2015-06-01 00:00:00+00:00,230,237.5,225.75,226.45,227.6,1708590,3960.27
5,2015-06-02 00:00:00+00:00,234.55,234.6,221.05,230.3,230.9,1534749,3486.05
6,2015-06-03 00:00:00+00:00,234.05,235.95,230.2,233.5,233.75,3069914,7162.35
7,2015-06-04 00:00:00+00:00,234.55,236.8,231.1,233.8,233.25,5082859,11859.95
8,2015-06-05 00:00:00+00:00,240,240,232.5,235,234.25,2240909,5248.6
9,2015-06-08 00:00:00+00:00,233.3,236.75,232,236.25,236.1,2349368,5503.9
10,2015-06-09 00:00:00+00:00,233.55,239.2,230.75,234,233.3,3423509,7999.55
11,2015-06-10 00:00:00+00:00,235,237,227.95,233.75,234.6,5395319,12589.59
12,2015-06-11 00:00:00+00:00,235.95,237.2,233.45,234.6,234.9,1362058,3202.78
13,2015-06-12 00:00:00+00:00,237.9,239.25,233.5,235.5,235.05,2614794,6163.7
14,2015-06-15 00:00:00+00:00,233.15,238,230.25,236.4,236.6,3170894,7445.41
15,2015-06-16 00:00:00+00:00,223.45,236.7,223.3,234,233.95,6377909,14784.5
16,2015-06-17 00:00:00+00:00,216.35,223.7,212.65,221.65,222.65,4570939,10002.01
17,2015-06-18 00:00:00+00:00,222.5,225.4,214.85,216.35,216,3508990,7735.81
18,2015-06-19 00:00:00+00:00,222.5,235.15,220.65,221.05,222,7514106,17130.29
19,2015-06-22 00:00:00+00:00,221,224.5,219.1,223.15,222.95,1232507,2742.84
20,2015-06-23 00:00:00+00:00,224,225,218.2,220.95,221.05,1738824,3856.72
21,2015-06-24 00:00:00+00:00,222,224.6,215.2,222.1,222.4,3023097,6674.93
22,2015-06-25 00:00:00+00:00,238.2,238.2,222.6,223.45,223.7,3554859,8163.82
23,2015-06-26 00:00:00+00:00,236,243.55,235.05,236.85,236.7,5242852,12538.39
24,2015-06-29 00:00:00+00:00,237,239.75,232.95,234.65,234.3,3353833,7913.21
25,2015-06-30 00:00:00+00:00,235.35,237.3,232.1,237.3,236,1921327,4516.57
26,2015-07-01 00:00:00+00:00,233.85,237.7,232.7,234.2,234.55,1394661,3280.33
27,2015-07-02 00:00:00+00:00,237,239.3,231.3,232.9,233.35,2374782,5571.77
28,2015-07-06 00:00:00+00:00,231.8,239.35,231.05,236.8,237.05,1990020,4689.94
29,2015-07-07 00:00:00+00:00,234.5,237.2,230.2,231.5,231,1838417,4289.35
30,2015-07-08 00:00:00+00:00,240.3,240.6,233.1,235.5,235.45,1553953,3662.36
31,2015-07-09 00:00:00+00:00,246.9,246.9,239.25,240.9,240.55,3272005,7941.4
32,2015-07-10 00:00:00+00:00,244,247,243,244.7,245.15,1690225,4141.83
33,2015-07-13 00:00:00+00:00,240.8,244.5,239.2,242.7,243,2838238,6885.52
34,2015-07-14 00:00:00+00:00,236.05,242,235.95,240.35,239.35,2551480,6106.81
35,2015-07-15 00:00:00+00:00,235,238.5,235,237.4,237.55,1885288,4459.96
36,2015-07-16 00:00:00+00:00,233,236.45,232.25,235.2,234.55,1948583,4573.57
37,2015-07-17 00:00:00+00:00,237.3,237.95,231.1,233.65,233.55,2035594,4757.48
38,2015-07-20 00:00:00+00:00,236.65,239.85,235.3,237.25,237.3,1127248,2676.63
39,2015-07-21 00:00:00+00:00,237.25,240.5,235.05,236.35,236.35,1807313,4305.39
40,2015-07-22 00:00:00+00:00,241,241.55,235.3,237.5,237.6,1963538,4677.58
41,2015-07-23 00:00:00+00:00,235.15,240.45,234.15,240,239.5,2560616,6080.87
42,2015-07-24 00:00:00+00:00,236,239,232,235.2,234.65,3357945,7893.32
43,2015-07-27 00:00:00+00:00,232.5,238.05,230.4,235,235.45,5700851,13328.52
44,2015-07-28 00:00:00+00:00,248.7,254.95,234.35,235.1,235.65,13272609,32325.56
45,2015-07-29 00:00:00+00:00,243.4,249.65,241.5,247.1,246.9,4422342,10917.34
46,2015-07-30 00:00:00+00:00,243.7,247,240.9,243.65,242.2,1867720,4544.83
47,2015-07-31 00:00:00+00:00,241,243.95,239.15,242.5,242.25,1581985,3821.97
48,2015-08-03 00:00:00+00:00,235.9,242.95,234.5,239.5,239.1,3996921,9565.1
49,2015-08-04 00:00:00+00:00,248.5,248.5,235.8,236.05,236.9,2310430,5596.44
50,2015-08-05 00:00:00+00:00,244,249.2,241.9,246.3,246.3,2278457,5607.3
51,2015-08-06 00:00:00+00:00,238.9,244.25,235.25,243.05,243.3,2351769,5645.48
52,2015-08-07 00:00:00+00:00,231.25,240.95,231.25,238.9,238.6,3003282,7143.47
53,2015-08-10 00:00:00+00:00,239.7,243.3,228.6,232.5,233.1,4223216,9934.06
